"","seed","up_fdr","down_fdr","up_complement_OR","up_complement_P","down_synGO_OR","down_synGO_P"
"68","TNNT1",250,339,0,1,2.49887169691755,1.09183403347063e-05
"69","VRK3",2216,1808,0.81582001947199,1,2.57737351028412,3.3092684073271e-22
"70","FAM32A",4025,2218,0.131295194820983,0.010420066598997,1.40552146324693,0.000897013246397087
"71","PPP6R1",4720,5013,0.468371406908655,0.164522235387054,1.02430398045808,0.750199232280115
"72","C19orf44",1401,1582,2.35173630599786,0.0764417523766378,2.94722789646183,3.63029629640552e-27
"73","MED26",2905,2641,0.603807177593824,0.622590836572979,1.45106143362238,9.28406248131298e-05
"74","OLFM2",2006,1506,0.287910632871148,0.25571790989239,1.5436514503797,0.000269387216584802
"75","RASAL3",1362,336,12.3003548803572,1.32831671019464e-11,1.33802832112914,0.212364675247937
"76","AKAP8",803,313,0.756346910653264,1,1.53061606812491,0.0823963016697878
"77","ILVBL",2528,2046,0.223497628712028,0.121576707189311,3.42949188841835,8.67630685505031e-45
"78","ZNF419",663,755,0.921452870085504,1,4.31573834223247,3.56722675815245e-31
"79","SYDE1",2716,3022,2.31361682687379,0.0380033462560924,3.66595691339348,2.00873562062634e-65
"80","SLC1A6",4553,3325,0.488928783569525,0.223190043910292,0.693570369275308,0.000416331379275821
"81","AURKC",3,1,0,1,0,1
"82","POP4",3274,1802,0.722153656926815,0.815324056708177,2.30889768886942,6.18701848776181e-17
"83","CCNE1",3350,1967,0,0.00478968272237444,0.942241828345338,0.677763647257778
"84","URI1",3722,3719,0.295340849424504,0.0791173208600582,3.5403962609086,4.70892873588221e-69
"85","PDCD5",2453,962,0,0.0306166592832476,1.69085582191018,0.00023164918141308
"86","ANKRD27",190,98,0,1,2.6905394891449,0.00664212435930157
"87","RPS16",1820,2431,1.38358565621979,0.538318589791178,1.04585262225842,0.666273608571843
"88","TIMM50",3987,3062,0.272116101115245,0.0543210392986032,0.890663881700654,0.262946086458172
"89","FBL",3316,2614,0.710908567405706,0.648854099385345,3.54770110832731,2.27625501699388e-56
"90","DYRK1B",4887,4994,0.575780288739187,0.32440371472527,0.984193112107415,0.873322718757473
"91","CNTD2",21,0,0,1,0,1
"92","GPI",6009,5476,0.251990507180912,0.00986256695872781,0.764120929350818,0.00104573635317773
"93","AKT2",3853,3900,0.597744061390866,0.393224511164473,2.71684424008831,4.4874607286877e-42
"94","PLD3",5839,5184,0.567390222052998,0.267123774902903,0.815035785793302,0.0132648246891062
"95","PRX",734,469,4.62282689645889,0.00664150550536309,4.99213322721489,1.63289436693237e-26
"96","PIAS4",3435,3124,0.324127345815669,0.11399114011624,2.62474648747557,4.10125934621096e-34
