"","i","R","P","Gene","FDR","syngo","ENSG"
"192",192,0.16350184644671,0.0123011692079321,"UBIAD1",0.0330309173175955,FALSE,"ENSG00000120942"
"193",193,0.18214890785457,0.00585748330423447,"PTCHD2",0.0181212493688515,FALSE,"ENSG00000204624"
"194",194,0.0522830570966378,0.24152141848106,"FBXO2",0.316700103788074,TRUE,"ENSG00000116661"
"195",195,-0.125336644094715,0.0442229512902516,"FBXO44",0.0910017745082203,FALSE,"ENSG00000132879"
"196",196,0.0559123658554849,0.226506200661829,"FBXO6",0.303677659982794,FALSE,"ENSG00000116663"
"197",197,0.321022104262625,8.40336353555135e-07,"MAD2L2",1.03989674920459e-05,FALSE,"ENSG00000116670"
"198",198,0.119881111227954,0.0518381348218298,"DRAXIN",0.102935504394643,FALSE,"ENSG00000162490"
"199",199,0.489483028563267,3.58091558084195e-18,"AGTRAP",6.75982271440071e-16,FALSE,"ENSG00000177674"
"200",200,-0.275341211225156,3.35976293542415e-05,"MTHFR",0.000241743460402148,FALSE,"ENSG00000177000"
"201",201,-0.253843221575917,0.000141654928071086,"CLCN6",0.000808936960816904,FALSE,"ENSG00000011021"
"202",202,0.00216509489083488,0.488445402542346,"NPPA-AS1",0.493383313789397,FALSE,"ENSG00000242349"
"203",203,0.112053883072624,0.0644767095681966,"NPPA",0.12133724804473,FALSE,"ENSG00000175206"
"204",204,0.141765876674638,0.0264584173193308,"KIAA2013",0.0611778288143991,FALSE,"ENSG00000116685"
"205",205,0.271139314763521,4.51184605640918e-05,"PLOD1",0.000309396982826414,FALSE,"ENSG00000083444"
"206",206,-0.245029288734412,0.000243628499468319,"MFN2",0.00128053750311559,FALSE,"ENSG00000116688"
"207",207,0.353289615105251,3.31751513998176e-08,"MIIP",6.62509759990369e-07,FALSE,"ENSG00000116691"
"208",208,0.399949645029004,9.45838391290183e-11,"TNFRSF1B",4.07892806243891e-09,FALSE,"ENSG00000028137"
"209",209,-0.184189642622376,0.00537336085184941,"VPS13D",0.0169004952287813,FALSE,"ENSG00000048707"
"210",210,0.450598915853157,1.94690882681437e-14,"DHRS3",1.93819132460476e-12,FALSE,"ENSG00000162496"
"211",211,-0.167888752787842,0.0104068333285644,"LRRC38",0.0289006542447863,FALSE,"ENSG00000162494"
"212",212,0.412574682138136,1.44376296644098e-11,"PDPN",7.54300181683658e-10,FALSE,"ENSG00000162493"
"213",213,-0.234861563962913,0.000441019113016074,"PRDM2",0.00209964131607224,FALSE,"ENSG00000116731"
"214",214,-0.265941380182022,6.43723148590617e-05,"KAZN",0.000416017402962386,FALSE,"ENSG00000189337"
"215",215,-0.00786463635556035,0.458097378484929,"TMEM51-AS1",0.475042485297037,FALSE,"ENSG00000175147"
"216",216,0.290142624974964,1.12425787936164e-05,"TMEM51",9.5695422204061e-05,FALSE,"ENSG00000171729"
"217",217,-0.21209769781352,0.00148251250857521,"FHAD1",0.00583498727312941,FALSE,"ENSG00000142621"
"218",218,-0.200487313172371,0.00259763877555405,"EFHD2",0.00932019937221383,FALSE,"ENSG00000142634"
"219",219,-0.0180861842916729,0.404368450383716,"CTRC",0.440732757349428,FALSE,"ENSG00000162438"
"220",220,-0.0698890576309516,0.173700734615071,"CELA2A",0.251993888178611,FALSE,"ENSG00000142615"
"221",221,0.118486565604433,0.0539379146384985,"CASP9",0.105990147492522,FALSE,"ENSG00000132906"
"222",222,-0.241011035512427,0.000309262602093672,"DNAJC16",0.00156468891729314,FALSE,"ENSG00000116138"
"223",223,-0.371372567561403,4.11895714913325e-09,"AGMAT",1.14791549518323e-07,FALSE,"ENSG00000116771"
"224",224,-0.109579457887699,0.0689188819924607,"RP4-680D5.2",0.127744458005989,FALSE,"ENSG00000237301"
"225",225,0.0782697215562591,0.146025667464766,"CHCHD2P6",0.22242320209865,FALSE,"ENSG00000235084"
"226",226,-0.203589508834054,0.00224422279081145,"DDI2",0.00828082206235242,FALSE,"ENSG00000197312"
"227",227,-0.0552495725273158,0.229209653319004,"PLEKHM2",0.305989046936114,FALSE,"ENSG00000116786"
"228",228,0.0494594143940013,0.253554951565835,"RP11-288I21.1",0.327129621494541,FALSE,"ENSG00000237938"
"229",229,-0.0125122928146331,0.433516143734836,"SLC25A34",0.460109645417723,FALSE,"ENSG00000162461"
"230",230,0.28726741576831,1.40050740563508e-05,"FBLIM1",0.000115503751844621,FALSE,"ENSG00000162458"
"231",231,-0.044977296721763,0.273262656704566,"RP11-169K16.7",0.343229286338483,FALSE,"ENSG00000233954"
"232",232,0.0104161432073969,0.44457745863741,"RP11-169K16.8",0.466613949506141,FALSE,"ENSG00000178715"
"233",233,0.0709061165868315,0.170180340401534,"RP11-169K16.9",0.2482003361104,FALSE,"ENSG00000179743"
"234",234,0.0651204270749932,0.190797192755734,"SPEN",0.26962230416965,FALSE,"ENSG00000065526"
"235",235,0.0646770437958459,0.192435923425031,"ZBTB17",0.271248438132915,FALSE,"ENSG00000116809"
"236",236,0.180097046950644,0.00638163523622356,"C1orf64",0.0194244784114441,FALSE,"ENSG00000183888"
"237",237,0.0571406458777974,0.221542536936971,"HSPB7",0.299119061978938,FALSE,"ENSG00000173641"
"238",238,0.0439564607331183,0.27785152978227,"RP11-5P18.10",0.347237436846581,FALSE,"ENSG00000232456"
"239",239,-0.0394588845334228,0.298490430053598,"FAM131C",0.363573989857103,FALSE,"ENSG00000185519"
"240",240,0.220948057030803,0.000942427037359563,"EPHA2",0.00399448528226326,FALSE,"ENSG00000142627"
"241",241,0.215223927580746,0.00126654361443837,"ARHGEF19",0.00512301146652756,FALSE,"ENSG00000142632"
"242",242,0.112726576781947,0.063307142270006,"ANO7P1",0.119660508651199,FALSE,"ENSG00000237276"
"243",243,-0.0148834338610164,0.421064533479278,"C1orf134",0.45206037745039,FALSE,"ENSG00000204377"
"244",244,-0.064116658337047,0.194518951850796,"RSG1",0.273260616858637,FALSE,"ENSG00000132881"
"245",245,-0.123243218437718,0.0470345662015493,"FBXO42",0.0954428221978502,FALSE,"ENSG00000037637"
"246",246,0.326803781150504,4.91175953454538e-07,"SZRD1",6.699680183112e-06,FALSE,"ENSG00000055070"
"247",247,0.47783165274794,5.93067518725254e-17,"NECAP2",8.85617988783009e-15,FALSE,"ENSG00000157191"
"248",248,0.0382732329397092,0.304041366481721,"RP4-798A10.2",0.36818342009942,FALSE,"ENSG00000226029"
"249",249,-0.0745130466722181,0.158055283438965,"CROCCP3",0.235530455904657,FALSE,"ENSG00000080947"
"250",250,-0.0646252067026232,0.192628053437295,"RP4-798A10.7",0.271457496555254,FALSE,"ENSG00000261135"
