Gene	Set
POLR3A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BTBD10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PAK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DOC2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CNTN5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MKX	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MPP7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CDH8	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ITPR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GPR158	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BTBD11	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CSNK1G3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AKAP6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ME3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AMN1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ZNF385D	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BEND6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GLT1D1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RABGAP1L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FAM168B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UHMK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HOMER1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
