gene	set
DCTN3	Complement + Complement PPI InWeb (545 genes)
DCTN4	Complement + Complement PPI InWeb (545 genes)
DCTN5	Complement + Complement PPI InWeb (545 genes)
DCTN6	Complement + Complement PPI InWeb (545 genes)
DRD2	Complement + Complement PPI InWeb (545 genes)
DRD3	Complement + Complement PPI InWeb (545 genes)
DRD4	Complement + Complement PPI InWeb (545 genes)
DYNC1H1	Complement + Complement PPI InWeb (545 genes)
DYNC1I1	Complement + Complement PPI InWeb (545 genes)
DYNC1I2	Complement + Complement PPI InWeb (545 genes)
DYNC1LI2	Complement + Complement PPI InWeb (545 genes)
DYNC2H1	Complement + Complement PPI InWeb (545 genes)
DYNC2LI1	Complement + Complement PPI InWeb (545 genes)
DYNLL1	Complement + Complement PPI InWeb (545 genes)
DYNLL2	Complement + Complement PPI InWeb (545 genes)
EDN1	Complement + Complement PPI InWeb (545 genes)
EDN2	Complement + Complement PPI InWeb (545 genes)
EDN3	Complement + Complement PPI InWeb (545 genes)
EDNRA	Complement + Complement PPI InWeb (545 genes)
EDNRB	Complement + Complement PPI InWeb (545 genes)
EFEMP1	Complement + Complement PPI InWeb (545 genes)
EFEMP2	Complement + Complement PPI InWeb (545 genes)
EGFR	Complement + Complement PPI InWeb (545 genes)
F10	Complement + Complement PPI InWeb (545 genes)
F11	Complement + Complement PPI InWeb (545 genes)
F11R	Complement + Complement PPI InWeb (545 genes)
F12	Complement + Complement PPI InWeb (545 genes)
F13A1	Complement + Complement PPI InWeb (545 genes)
F13B	Complement + Complement PPI InWeb (545 genes)
F2R	Complement + Complement PPI InWeb (545 genes)
F2RL1	Complement + Complement PPI InWeb (545 genes)
F2RL2	Complement + Complement PPI InWeb (545 genes)
F2RL3	Complement + Complement PPI InWeb (545 genes)
F5	Complement + Complement PPI InWeb (545 genes)
F8	Complement + Complement PPI InWeb (545 genes)
FBLN1	Complement + Complement PPI InWeb (545 genes)
FBLN2	Complement + Complement PPI InWeb (545 genes)
FBLN5	Complement + Complement PPI InWeb (545 genes)
FFAR1	Complement + Complement PPI InWeb (545 genes)
FFAR2	Complement + Complement PPI InWeb (545 genes)
FFAR3	Complement + Complement PPI InWeb (545 genes)
FGA	Complement + Complement PPI InWeb (545 genes)
FGB	Complement + Complement PPI InWeb (545 genes)
FGG	Complement + Complement PPI InWeb (545 genes)
FOLR1	Complement + Complement PPI InWeb (545 genes)
FPR1	Complement + Complement PPI InWeb (545 genes)
FPR2	Complement + Complement PPI InWeb (545 genes)
FPR3	Complement + Complement PPI InWeb (545 genes)
FURIN	Complement + Complement PPI InWeb (545 genes)
GABBR1	Complement + Complement PPI InWeb (545 genes)
GABBR2	Complement + Complement PPI InWeb (545 genes)
GAL	Complement + Complement PPI InWeb (545 genes)
GALR1	Complement + Complement PPI InWeb (545 genes)
GALR2	Complement + Complement PPI InWeb (545 genes)
GALR3	Complement + Complement PPI InWeb (545 genes)
GAST	Complement + Complement PPI InWeb (545 genes)
GBF1	Complement + Complement PPI InWeb (545 genes)
GCG	Complement + Complement PPI InWeb (545 genes)
GCGR	Complement + Complement PPI InWeb (545 genes)
GGCX	Complement + Complement PPI InWeb (545 genes)
GHRL	Complement + Complement PPI InWeb (545 genes)
GHSR	Complement + Complement PPI InWeb (545 genes)
GNA11	Complement + Complement PPI InWeb (545 genes)
GNA14	Complement + Complement PPI InWeb (545 genes)
GNA15	Complement + Complement PPI InWeb (545 genes)
GNAI1	Complement + Complement PPI InWeb (545 genes)
GNAI2	Complement + Complement PPI InWeb (545 genes)
GNAI3	Complement + Complement PPI InWeb (545 genes)
GNAQ	Complement + Complement PPI InWeb (545 genes)
GNAT3	Complement + Complement PPI InWeb (545 genes)
GNB1	Complement + Complement PPI InWeb (545 genes)
GNG2	Complement + Complement PPI InWeb (545 genes)
GNRH1	Complement + Complement PPI InWeb (545 genes)
GNRH2	Complement + Complement PPI InWeb (545 genes)
GNRHR	Complement + Complement PPI InWeb (545 genes)
GOLGA2	Complement + Complement PPI InWeb (545 genes)
GOLGB1	Complement + Complement PPI InWeb (545 genes)
GORASP1	Complement + Complement PPI InWeb (545 genes)
GOSR1	Complement + Complement PPI InWeb (545 genes)
GOSR2	Complement + Complement PPI InWeb (545 genes)
GP1BA	Complement + Complement PPI InWeb (545 genes)
GP1BB	Complement + Complement PPI InWeb (545 genes)
GP5	Complement + Complement PPI InWeb (545 genes)
GP9	Complement + Complement PPI InWeb (545 genes)
GPER1	Complement + Complement PPI InWeb (545 genes)
GPR132	Complement + Complement PPI InWeb (545 genes)
GPR17	Complement + Complement PPI InWeb (545 genes)
GPR18	Complement + Complement PPI InWeb (545 genes)
GPR4	Complement + Complement PPI InWeb (545 genes)
GPR55	Complement + Complement PPI InWeb (545 genes)
GPR65	Complement + Complement PPI InWeb (545 genes)
GPR68	Complement + Complement PPI InWeb (545 genes)
GPRC6A	Complement + Complement PPI InWeb (545 genes)
GRB2	Complement + Complement PPI InWeb (545 genes)
GRIA1	Complement + Complement PPI InWeb (545 genes)
GRM1	Complement + Complement PPI InWeb (545 genes)
GRM2	Complement + Complement PPI InWeb (545 genes)
GRM3	Complement + Complement PPI InWeb (545 genes)
GRM4	Complement + Complement PPI InWeb (545 genes)
GRM5	Complement + Complement PPI InWeb (545 genes)
GRM6	Complement + Complement PPI InWeb (545 genes)
GRM7	Complement + Complement PPI InWeb (545 genes)
GRM8	Complement + Complement PPI InWeb (545 genes)
GRP	Complement + Complement PPI InWeb (545 genes)
GRPR	Complement + Complement PPI InWeb (545 genes)
HCAR1	Complement + Complement PPI InWeb (545 genes)
HCAR2	Complement + Complement PPI InWeb (545 genes)
HCAR3	Complement + Complement PPI InWeb (545 genes)
HCRT	Complement + Complement PPI InWeb (545 genes)
HCRTR1	Complement + Complement PPI InWeb (545 genes)
HCRTR2	Complement + Complement PPI InWeb (545 genes)
HEBP1	Complement + Complement PPI InWeb (545 genes)
HIST3H3	Complement + Complement PPI InWeb (545 genes)
HRH1	Complement + Complement PPI InWeb (545 genes)
HRH3	Complement + Complement PPI InWeb (545 genes)
HRH4	Complement + Complement PPI InWeb (545 genes)
HTR1A	Complement + Complement PPI InWeb (545 genes)
HTR1B	Complement + Complement PPI InWeb (545 genes)
HTR1D	Complement + Complement PPI InWeb (545 genes)
HTR1E	Complement + Complement PPI InWeb (545 genes)
HTR1F	Complement + Complement PPI InWeb (545 genes)
HTR2A	Complement + Complement PPI InWeb (545 genes)
HTR2B	Complement + Complement PPI InWeb (545 genes)
HTR2C	Complement + Complement PPI InWeb (545 genes)
HTR5A	Complement + Complement PPI InWeb (545 genes)
ICAM1	Complement + Complement PPI InWeb (545 genes)
ICAM2	Complement + Complement PPI InWeb (545 genes)
ICAM3	Complement + Complement PPI InWeb (545 genes)
ICAM4	Complement + Complement PPI InWeb (545 genes)
ICAM5	Complement + Complement PPI InWeb (545 genes)
