"","gene","Seed","Gene","R","P","FDR"
"cor18445","RP11-327P2.5","ENSG00000244731","ENSG00000231856",0.0494333537401147,0.554878554744391,0.774683574426812
"cor18446","AC067945.4","ENSG00000244731","ENSG00000231858",-0.174658807569008,0.0356281533688598,0.159037067012295
"cor18447","AC007875.2","ENSG00000244731","ENSG00000231859",0.0762775391858266,0.361830377467758,0.625086919423438
"cor18448","OR5K2","ENSG00000244731","ENSG00000231861",-0.11901989196617,0.153909210986945,0.388664635381039
"cor18449","RP3-428L16.1","ENSG00000244731","ENSG00000231863",0.071939616592083,0.389852479880356,0.649770940017866
"cor18450","RP11-229P13.23","ENSG00000244731","ENSG00000231864",0.0460440029449717,0.582363087677903,0.792409788924627
"cor18451","SIK3-IT1","ENSG00000244731","ENSG00000231865",0.166815579305399,0.0449187668560631,0.184513370403043
"cor18452","IPO9-AS1","ENSG00000244731","ENSG00000231871",-0.00206687413977775,0.980315732233214,0.992144195560615
"cor18453","RP11-346E8.1","ENSG00000244731","ENSG00000231875",0.060166578009101,0.472213287634516,0.717893428347889
"cor18454","KBTBD4","ENSG00000244731","ENSG00000231880",-0.058111371406688,0.487504008646128,0.728190571941194
"cor18455","TRAF3IP2-AS1","ENSG00000244731","ENSG00000231889",0.0413538392458691,0.621399699212834,0.816058078442453
"cor18456","AC093391.2","ENSG00000244731","ENSG00000231890",-0.0681659343305447,0.415261004865742,0.671240962020046
"cor18457","AC079354.5","ENSG00000244731","ENSG00000231903",-0.0563928712703369,0.50048985905943,0.736448140408641
